alliance_defense_1999,arms_inverse_1999,conflicts_dead_gradient_1999,conflicts_dead_origin_1999,contiguity_any,flood_displaced_origin_1999,flood_max_severity_origin_1999,gain_gradient_1999,gdppc_gradient_1999,immigrant_population_2000,min_spei_destination_1999,min_spei_origin_1999,polyarchy_additive_gradient_1999,pts_gradient_1999,riv_strategic_1999,state_destination_name,state_origin_name,trade_1999,ref_flow_1999,alliance_defense_2000,arms_inverse_2000,conflicts_dead_gradient_2000,conflicts_dead_origin_2000,contiguity_any,flood_displaced_origin_2000,flood_max_severity_origin_2000,gain_gradient_2000,gdppc_gradient_2000,immigrant_population_2000,min_spei_destination_2000,min_spei_origin_2000,polyarchy_additive_gradient_2000,pts_gradient_2000,riv_strategic_2000,state_destination_name,state_origin_name,trade_2000,ref_flow_2000,alliance_defense_2001,arms_inverse_2001,conflicts_dead_gradient_2001,conflicts_dead_origin_2001,contiguity_any,flood_displaced_origin_2001,flood_max_severity_origin_2001,gain_gradient_2001,gdppc_gradient_2001,immigrant_population_2000,min_spei_destination_2001,min_spei_origin_2001,polyarchy_additive_gradient_2001,pts_gradient_2001,riv_strategic_2001,state_destination_name,state_origin_name,trade_2001,ref_flow_2001
1,0.0,-11.0,11.0,0,0.0,0.0,1.4958984510757,-4897.043609,12239,-1.97111189365387,-5.44924211502075,0.017594184,0,0,Germany,Canada,7960.2192,0.0,1,0.0,-23.0,23.0,0,0.0,1.0,2.04973853319899,-5636.018974,12239,-2.1359760761261,-6.3552885055542,0.014845855,0,0,Germany,Canada,8757.9395,0.0,1,0.0,-1.0,1.0,0,0.0,0.0,1.40010478562101,-5383.343804,12239,-1.90905952453613,-4.15310287475586,0.019849184,1,0,Germany,Canada,8641.29,0.0
0,0.0,-11.0,11.0,0,0.0,0.0,-15.5212102071701,-33514.63592,1145,-2.37999296188354,-5.44924211502075,-0.017598109,2,0,Argentina,Canada,514.7663,0.0,0,0.0,-23.0,23.0,0,0.0,1.0,-16.3052486863969,-35454.0204,1145,-3.42603015899658,-6.3552885055542,-0.014450431,1,0,Argentina,Canada,571.74371,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-18.288172108684,-36227.87832,1145,-2.51120805740356,-4.15310287475586,-0.004858267,2,0,Argentina,Canada,450.94406,0.0
0,0.0,-11.0,11.0,0,0.0,0.0,-17.1885406267609,-39902.97457,1,-2.03218173980713,-5.44924211502075,-0.460949138,1,0,Morocco,Canada,205.55423,0.0,0,0.0,-23.0,23.0,0,0.0,1.0,-18.3502103884133,-41670.63748,1,-2.18251347541809,-6.3552885055542,-0.412283903,1,0,Morocco,Canada,298.0032,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-19.1440910410747,-41876.2923,1,-2.39205431938171,-4.15310287475586,-0.402328926,1,0,Morocco,Canada,288.39996,0.0
0,0.0,-7.0,11.0,0,0.0,0.0,-19.5114979380635,-39925.93982,344,-2.36091637611389,-5.44924211502075,-0.515281112,2,0,Egypt,Canada,144.38229,0.0,0,0.0,-18.0,23.0,0,0.0,1.0,-20.4417890899626,-41640.92624,344,-1.915980219841,-6.3552885055542,-0.528250225,2,0,Egypt,Canada,138.99304,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-21.3059939324574,-41934.588,344,-2.91134190559387,-4.15310287475586,-0.519886913,3,0,Egypt,Canada,144.627,0.0
0,0.0,-11.0,11.0,0,0.0,0.0,-5.3017888223019,-27859.15408,2486,-1.85921192169189,-5.44924211502075,-0.017731443,1,0,South Korea,Canada,4436.7783,0.0,0,0.0,-23.0,23.0,0,0.0,1.0,-5.3124590261892,-28532.187,2486,-2.47907733917236,-6.3552885055542,-0.009067081,1,0,South Korea,Canada,5932.4663,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-5.25521497585469,-28291.75253,2486,-2.68969416618347,-4.15310287475586,-0.004063752,1,0,South Korea,Canada,5100.9561,0.0
0,0.0,-11.0,11.0,0,0.0,0.0,-24.6776857005342,-40247.33377,1674,-2.28980159759521,-5.44924211502075,-0.045329961,2,0,Bolivia,Canada,28.359819,0.0,0,0.0,27.0,23.0,0,0.0,1.0,-25.7430292594351,-42020.17831,1674,-2.20676636695862,-6.3552885055542,-0.045802264,2,0,Bolivia,Canada,24.228981,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-25.9512906923476,-42349.96686,1674,-2.22094106674194,-4.15310287475586,-0.045151247,1,0,Bolivia,Canada,27.22294,0.0
1,0.0,-11.0,11.0,0,0.0,0.0,0.290660757954399,-4512.327485,31846,-2.72010588645935,-5.44924211502075,0.019420672,1,0,France,Canada,5588.4414,0.0,1,0.0,-23.0,23.0,0,0.0,1.0,-0.299884908777003,-5112.201557,31846,-2.49185466766357,-6.3552885055542,0.015191613,1,0,France,Canada,5016.8281,0.0,1,0.0,-1.0,1.0,0,0.0,0.0,-0.839251379059093,-4970.73937,31846,-2.07948637008667,-4.15310287475586,0.020194942,1,0,France,Canada,5849.6362,0.0
0,0.0,-11.0,11.0,0,0.0,0.0,-20.760006631124,0.0,14,-2.32648992538452,-5.44924211502075,-0.633137297,2,0,Syria,Canada,14.612515,0.0,0,0.0,-23.0,23.0,0,0.0,1.0,-21.4479834040889,0.0,14,-2.76310873031616,-6.3552885055542,-0.62641651,2,0,Syria,Canada,42.67907,0.0,0,0.0,-1.0,1.0,0,0.0,0.0,-21.7239709509947,0.0,14,-2.07765936851501,-4.15310287475586,-0.614614028,2,0,Syria,Canada,55.08654,0.0
1,0.0,-11.0,11.0,0,0.0,0.0,-4.1265076041849,-14820.67052,3074,-1.78746938705444,-5.44924211502075,0.011813514,0,0,Spain,Canada,1180.9553,0.0,1,0.0,-3.0,23.0,0,0.0,1.0,-4.3336358699847,-15299.98515,3074,-2.01487326622009,-6.3552885055542,0.008426346,1,0,Spain,Canada,1258.7589,0.0,1,0.0,12.0,1.0,0,0.0,0.0,-4.9778283805399,-14696.71003,3074,-2.06526494026184,-4.15310287475586,0.013429675,1,0,Spain,Canada,1185.6289,0.0
0,0.0,11.0,0.0,0,1000.0,1.0,24.6776857005342,40247.33377,2531,-5.44924211502075,-2.28980159759521,0.045329961,-2,0,Canada,Bolivia,28.359819,0.0,0,0.0,-27.0,50.0,0,0.0,0.0,25.7430292594351,42020.17831,2531,-6.3552885055542,-2.20676636695862,0.045802264,-2,0,Canada,Bolivia,24.228981,0.0,0,0.0,1.0,0.0,0,500000.0,1.0,25.9512906923476,42349.96686,2531,-4.15310287475586,-2.22094106674194,0.045151247,-1,0,Canada,Bolivia,27.22294,12.0
1,0.0,0.0,0.0,1,1000.0,1.0,9.1564754933641,6732.697848,237213,-2.37999296188354,-2.28980159759521,0.027731852,0,0,Argentina,Bolivia,288.07498,0.0,1,0.0,-50.0,50.0,1,0.0,0.0,9.4377805730382,6566.157913,237213,-3.42603015899658,-2.20676636695862,0.031351833,-1,0,Argentina,Bolivia,337.28174,0.0,1,0.0,0.0,0.0,1,500000.0,1.0,7.6631185836636,6122.088539,237213,-2.51120805740356,-2.22094106674194,0.04029298,1,0,Argentina,Bolivia,328.52142,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,24.9683464584886,35735.00629,1615,-2.72010588645935,-2.28980159759521,0.064750633,-1,0,France,Bolivia,52.239239,0.0,0,0.0,-50.0,50.0,0,0.0,0.0,25.4431443506581,36907.97675,1615,-2.49185466766357,-2.20676636695862,0.060993877,-1,0,France,Bolivia,47.393871,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,25.1120393132885,37379.22749,1615,-2.07948637008667,-2.22094106674194,0.065346189,0,0,France,Bolivia,45.568298,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,26.1735841516099,35350.29016,1133,-1.97111189365387,-2.28980159759521,0.062924145,-2,0,Germany,Bolivia,63.534359,0.0,0,0.0,-50.0,50.0,0,0.0,0.0,27.7927677926341,36384.15933,1133,-2.1359760761261,-2.20676636695862,0.060648119,-2,0,Germany,Bolivia,59.443581,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,27.3513954779686,36966.62305,1133,-1.90905952453613,-2.22094106674194,0.065000431,0,0,Germany,Bolivia,48.860191,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,20.5511780963493,25426.66326,10641,-1.78746938705444,-2.28980159759521,0.057143475,-2,0,Spain,Bolivia,60.215618,0.0,0,0.0,-30.0,50.0,0,0.0,0.0,21.4093933894504,26720.19315,10641,-2.01487326622009,-2.20676636695862,0.05422861,-1,0,Spain,Bolivia,59.786648,0.0,0,0.0,13.0,0.0,0,500000.0,1.0,20.9734623118077,27653.25682,10641,-2.06526494026184,-2.22094106674194,0.058580922,0,0,Spain,Bolivia,40.095062,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,7.48914507377329,344.3592001,0,-2.03218173980713,-2.28980159759521,-0.415619177,-1,0,Morocco,Bolivia,0.0308,0.0,0,0.0,-50.0,50.0,0,0.0,0.0,7.3928188710218,349.5408311,0,-2.18251347541809,-2.20676636695862,-0.366481639,-1,0,Morocco,Bolivia,0.029739397,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,6.8071996512729,473.6745538,0,-2.39205431938171,-2.22094106674194,-0.357177679,0,0,Morocco,Bolivia,0.042820584,0.0
0,0.0,4.0,0.0,0,1000.0,1.0,5.1661877624707,321.3939501,1,-2.36091637611389,-2.28980159759521,-0.469951151,0,0,Egypt,Bolivia,0.29803199,0.0,0,0.0,-45.0,50.0,0,0.0,0.0,5.3012401694725,379.2520694,1,-1.915980219841,-2.20676636695862,-0.482447961,0,0,Egypt,Bolivia,0.99564999,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,4.64529675989019,415.3788586,1,-2.91134190559387,-2.22094106674194,-0.474735666,2,0,Egypt,Bolivia,0.79705602,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,3.9176790694102,0.0,0,-2.32648992538452,-2.28980159759521,-0.587807336,0,0,Syria,Bolivia,0.00098,0.0,0,0.0,-50.0,50.0,0,0.0,0.0,4.2950458553462,0.0,0,-2.76310873031616,-2.20676636695862,-0.580614246,0,0,Syria,Bolivia,0.107692,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,4.22731974135289,0.0,0,-2.07765936851501,-2.22094106674194,-0.569462781,1,0,Syria,Bolivia,0.12871,0.0
0,0.0,0.0,0.0,0,1000.0,1.0,19.3758968782323,12388.17969,0,-1.85921192169189,-2.28980159759521,0.027598518,-1,0,South Korea,Bolivia,43.910568,0.0,0,0.0,-50.0,50.0,0,0.0,0.0,20.4305702332459,13487.99131,0,-2.47907733917236,-2.20676636695862,0.036735183,-1,0,South Korea,Bolivia,31.096033,0.0,0,0.0,0.0,0.0,0,500000.0,1.0,20.6960757164929,14058.21433,0,-2.68969416618347,-2.22094106674194,0.041087495,0,0,South Korea,Bolivia,34.198399,0.0
0,0.0,11.0,0.0,0,0.0,0.0,15.5212102071701,33514.63592,13536,-5.44924211502075,-2.37999296188354,0.017598109,-2,0,Canada,Argentina,514.7663,4.0,0,0.0,23.0,0.0,0,15000.0,1.0,16.3052486863969,35454.0204,13536,-6.3552885055542,-3.42603015899658,0.014450431,-1,0,Canada,Argentina,571.74371,27.0,0,0.0,1.0,0.0,0,14500.0,2.0,18.288172108684,36227.87832,13536,-4.15310287475586,-2.51120805740356,0.004858267,-2,0,Canada,Argentina,450.94406,57.0
0,0.0,0.0,0.0,0,0.0,0.0,15.8118709651245,29002.30844,17999,-2.72010588645935,-2.37999296188354,0.037018781,-1,0,France,Argentina,1904.6865,0.0,0,0.0,0.0,0.0,0,15000.0,1.0,16.0053637776199,30341.81884,17999,-2.49185466766357,-3.42603015899658,0.029642044,0,0,France,Argentina,1502.3973,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,17.4489207296249,31257.13895,17999,-2.07948637008667,-2.51120805740356,0.025053209,-1,0,France,Argentina,1113.3348,0.0
0,0.0,0.0,0.0,0,0.0,0.0,17.0171086582458,28617.59232,5112,-1.97111189365387,-2.37999296188354,0.035192293,-2,0,Germany,Argentina,2326.4338,0.0,0,0.0,0.0,0.0,0,15000.0,1.0,18.3549872195959,29818.00142,5112,-2.1359760761261,-3.42603015899658,0.029296286,-1,0,Germany,Argentina,2115.0381,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,19.688276894305,30844.53451,5112,-1.90905952453613,-2.51120805740356,0.024707451,-1,0,Germany,Argentina,1788.0577,0.0
1,0.0,0.0,0.0,1,0.0,0.0,-9.1564754933641,-6732.697848,27612,-2.28980159759521,-2.37999296188354,-0.027731852,0,0,Bolivia,Argentina,288.07498,0.0,1,0.0,50.0,0.0,1,15000.0,1.0,-9.4377805730382,-6566.157913,27612,-2.20676636695862,-3.42603015899658,-0.031351833,1,0,Bolivia,Argentina,337.28174,0.0,1,0.0,0.0,0.0,1,14500.0,2.0,-7.6631185836636,-6122.088539,27612,-2.22094106674194,-2.51120805740356,-0.04029298,-1,0,Bolivia,Argentina,328.52142,0.0
0,0.0,0.0,0.0,0,0.0,0.0,11.3947026029852,18693.96541,83803,-1.78746938705444,-2.37999296188354,0.029411623,-2,0,Spain,Argentina,2075.8491,0.0,0,0.0,20.0,0.0,0,15000.0,1.0,11.9716128164122,20154.03524,83803,-2.01487326622009,-3.42603015899658,0.022876777,0,0,Spain,Argentina,1971.3502,0.0,0,0.0,13.0,0.0,0,14500.0,2.0,13.3103437281441,21531.16828,83803,-2.06526494026184,-2.51120805740356,0.018287942,-1,0,Spain,Argentina,1906.2994,0.0
0,0.0,0.0,0.0,0,0.0,0.0,-1.6673304195908,-6388.338648,0,-2.03218173980713,-2.37999296188354,-0.443351029,-1,0,Morocco,Argentina,72.292999,0.0,0,0.0,0.0,0.0,0,15000.0,1.0,-2.0449617020164,-6216.617082,0,-2.18251347541809,-3.42603015899658,-0.397833472,0,0,Morocco,Argentina,104.42637,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,-0.855918932390701,-5648.413985,0,-2.39205431938171,-2.51120805740356,-0.397470659,-1,0,Morocco,Argentina,152.72191,0.0
0,0.0,4.0,0.0,0,0.0,0.0,-3.9902877308934,-6411.303898,330,-2.36091637611389,-2.37999296188354,-0.497683003,0,0,Egypt,Argentina,205.0163,0.0,0,0.0,5.0,0.0,0,15000.0,1.0,-4.1365404035657,-6186.905844,330,-1.915980219841,-3.42603015899658,-0.513799794,1,0,Egypt,Argentina,394.50269,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,-3.0178218237734,-5706.709681,330,-2.91134190559387,-2.51120805740356,-0.515028646,1,0,Egypt,Argentina,265.09531,0.0
0,0.0,0.0,0.0,0,0.0,0.0,-5.2387964239539,0.0,4,-2.32648992538452,-2.37999296188354,-0.615539188,0,0,Syria,Argentina,79.354744,0.0,0,0.0,0.0,0.0,0,15000.0,1.0,-5.142734717692,0.0,4,-2.76310873031616,-3.42603015899658,-0.611966079,1,0,Syria,Argentina,70.260201,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,-3.4357988423107,0.0,4,-2.07765936851501,-2.51120805740356,-0.609755761,0,0,Syria,Argentina,111.91957,0.0
0,0.0,0.0,0.0,0,0.0,0.0,10.2194213848682,5655.481842,0,-1.85921192169189,-2.37999296188354,-0.000133334,-1,0,South Korea,Argentina,726.09863,0.0,0,0.0,0.0,0.0,0,15000.0,1.0,10.9927896602077,6921.833396,0,-2.47907733917236,-3.42603015899658,0.00538335,0,0,South Korea,Argentina,724.46368,0.0,0,0.0,0.0,0.0,0,14500.0,2.0,13.0329571328293,7936.125787,0,-2.68969416618347,-2.51120805740356,0.000794515,-1,0,South Korea,Argentina,783.39001,0.0
1,0.0,11.0,0.0,0,3000.0,2.0,-0.290660757954399,4512.327485,78675,-5.44924211502075,-2.72010588645935,-0.019420672,-1,0,Canada,France,5588.4414,0.0,1,0.0,23.0,0.0,0,0.0,1.0,0.299884908777003,5112.201557,78675,-6.3552885055542,-2.49185466766357,-0.015191613,-1,0,Canada,France,5016.8281,12.0,1,0.0,1.0,0.0,0,3049.0,2.0,0.839251379059093,4970.73937,78675,-4.15310287475586,-2.07948637008667,-0.020194942,-1,0,Canada,France,5849.6362,0.0
1,0.0,0.0,0.0,1,3000.0,2.0,1.2052376931213,-384.7161237,112171,-1.97111189365387,-2.72010588645935,-0.001826488,-1,0,Germany,France,108367.72,0.0,1,0.0,0.0,0.0,1,0.0,1.0,2.34962344197599,-523.8174173,112171,-2.1359760761261,-2.49185466766357,-0.000345758,-1,0,Germany,France,103036.19,0.0,1,0.0,0.0,0.0,1,3049.0,2.0,2.2393561646801,-412.6044331,112171,-1.90905952453613,-2.07948637008667,-0.000345758,0,0,Germany,France,107726.01,0.0
0,0.0,0.0,0.0,0,3000.0,2.0,-24.9683464584886,-35735.00629,427,-2.28980159759521,-2.72010588645935,-0.064750633,1,0,Bolivia,France,52.239239,0.0,0,0.0,50.0,0.0,0,0.0,1.0,-25.4431443506581,-36907.97675,427,-2.20676636695862,-2.49185466766357,-0.060993877,1,0,Bolivia,France,47.393871,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-25.1120393132885,-37379.22749,427,-2.22094106674194,-2.07948637008667,-0.065346189,0,0,Bolivia,France,45.568298,0.0
